trajectory,initial_physical_c60,final_physical_c60,maximum_physical_c60,time_of_maximum_physical_c60_fs,first_time_physical_c60_ge_0.10_fs,first_time_physical_c60_ge_0.25_fs,initial_surface_c60,final_surface_c60,maximum_surface_c60,maximum_norm_error,total_surface_changes,mean_surface_changes_per_interval,max_surface_changes_in_interval,renormalized_probability_vector_count,maximum_raw_probability_vector_sum
0,0.0016645822356395547,0.6009948960208671,0.7262718242101104,96.0,11.0,39.0,0.4923642212888285,0.6042528623161716,0.6117965209816181,1.2856382625159313e-13,220184,1106.4522613065326,3406,0,1.0000000000000002
1,0.0012717354880319354,0.34614654435188785,0.34614654435188785,99.5,10.5,17.5,0.49596002795248206,0.2354591881076377,0.5083201119891385,1.9129142714291447e-13,170015,854.3467336683417,4505,0,1.0000000000000002
2,0.0009673571095568293,0.417096262191853,0.49401518200167616,85.5,16.0,45.5,0.4981450689386056,0.4560394693950084,0.4981450689386056,9.814371537686384e-14,202737,1018.7788944723618,3914,0,1.0000000000000002
3,0.0008556854496979019,0.26195473449734497,0.5578529651348849,73.5,9.5,39.0,0.40364866966360086,0.39222286220956687,0.5834021601148632,3.752553823233029e-13,265832,1335.8391959798994,6938,0,1.0000000000000002
4,0.0008490752832741776,0.3204517040887653,0.3538893600876308,86.5,35.5,81.5,0.21391366996382613,0.3078175108979744,0.5142892766467446,4.306555112520982e-13,210829,1059.4422110552764,6853,0,1.0000000000000002
5,0.0011583917440811107,0.21792889988410313,0.4293005422458568,80.0,15.0,54.0,0.11814904880519385,0.22955271617387413,0.3883237230538026,1.532107773982716e-13,229479,1153.1608040201006,3276,0,1.0000000000000002
6,0.0016595260090984188,0.10222590922285352,0.17706122291666201,84.5,14.0,nan,0.09839580881890483,0.12139250197898308,0.20105215136496257,4.369837824924616e-13,144762,727.4472361809045,4800,0,1.0000000000000002
7,0.0019082464806527502,0.2897022993000625,0.4065803970747277,53.5,17.5,48.5,0.10281097703505133,0.25762998295192485,0.48279872067931245,1.3733458814613186e-13,149836,752.9447236180905,2370,0,1.0000000000000002
8,0.0019485967679645814,0.08199219280616385,0.24524864712964942,91.5,50.5,nan,0.08042167666232083,0.12277354709620562,0.16885530915283953,4.948264020754323e-13,202641,1018.2964824120603,3852,0,1.0000000000000002
9,0.002097398358735143,0.1593593979969594,0.32057964122910765,66.5,43.5,63.5,0.012042659088819005,0.18515783107211156,0.38870323373134297,1.4788170688007085e-13,180403,906.5477386934673,4457,0,1.0000000000000002
