trajectory,frames,H2Pc1_C60_mean_A,H2Pc1_C60_min_A,H2Pc1_C60_max_A,H2Pc2_C60_mean_A,H2Pc2_C60_min_A,H2Pc2_C60_max_A,H2Pc1_H2Pc2_mean_A,H2Pc1_H2Pc2_min_A,H2Pc1_H2Pc2_max_A,final_RMSD_A,maximum_RMSD_A
00,200,9.29113463949118,9.273398189663713,9.336727931904914,6.002845364433081,5.986920312792093,6.007244067410824,3.552981764221704,3.531471773134179,3.604471125220828,0.25499961791261216,0.25499961791261216
01,200,9.297558966980844,9.28360620883953,9.331483229943542,5.965174148889705,5.929173590155619,5.989096101639013,3.5815042224978075,3.549634090527801,3.643797695697742,0.26104933304754446,0.26104933304754446
02,200,9.400776789751955,9.300816792315317,9.508647928509085,6.046624663836492,5.9917019519172126,6.091943199214943,3.603055010303484,3.559648973902549,3.6629121329537275,0.34785469120356866,0.34785469120356866
03,200,9.317587868725012,9.296627285858078,9.375056682416876,6.010385067485495,5.982484411416188,6.023654118516963,3.5621466831752797,3.5324929823275397,3.643530745834219,0.2932104973964697,0.2932104973964697
04,200,9.370576797847994,9.313839560449594,9.44361545336181,5.969632876081063,5.93097161150584,5.995663886848895,3.6330862318481603,3.569086688671654,3.7265196463059445,0.2913597668202204,0.2913597668202204
05,200,9.315431393264792,9.307906130532215,9.3352912877267,6.0085990157258315,5.998010989053662,6.012846543436659,3.5804871739434994,3.5644337782081608,3.620700202057011,0.26081183479754094,0.26081183479754094
06,200,9.40925023976219,9.328762518695367,9.505539176983602,6.031683510852238,5.999833237006899,6.0572297621901265,3.644111419207545,3.5802099855164244,3.7270262021029312,0.283285041321406,0.283285041321406
07,200,9.293399638847553,9.276892080674955,9.335521500034895,6.004788479508277,5.95624833853296,6.024154327985472,3.559101156088316,3.526594994622734,3.629784329861186,0.2596049833145743,0.2596049833145743
08,200,9.36637413093821,9.34410361490462,9.406775118981912,6.036063225600083,6.00380720523512,6.064188438014941,3.571510955516584,3.565677297052752,3.5918508849099786,0.2775079485932877,0.2775079485932877
09,200,9.350687932734598,9.345516480501141,9.364478311179097,5.934748100158776,5.876320704594516,6.005536364730982,3.693305402595097,3.5971782170187083,3.789112395823763,0.3008743138931254,0.3008743138931254
