trajectory,mean_s1_eV,mean_s2_eV,mean_s3_eV,mean_s4_eV,mean_fraction_first_channel,mean_fraction_first_two_channels,mean_fraction_first_three_channels,mean_acceptor_e2_minus_e1_eV,mean_acceptor_e3_minus_e2_eV,mean_donor_span_eV,mean_low_acceptor_coupling_norm_eV,mean_high_acceptor_coupling_norm_eV,initial_donor_weight_0,initial_donor_weight_1,initial_donor_weight_2,initial_donor_weight_3,initial_donor_max_weight
0,0.12851718895910025,0.05336318201476953,0.008033510916923533,0.0026840264351830714,0.8285469042238803,0.996269908214853,0.9996255006810216,0.08631844760800256,0.8002890393252386,0.4148510506738752,0.08712579079938419,0.11150014366574541,0.9923673127943071,0.0042854510138274635,0.0018921102139289865,0.0014551259779365315,0.9923673127943071
1,0.13448917389804008,0.059017935776011256,0.0051224520165988555,0.0026447032005631464,0.8284741398527996,0.998386060674944,0.9996585894933506,0.07654883187892349,0.824316205957864,0.4069249262327647,0.091851557217884,0.1159801648648804,0.994672783271191,0.002707975688814473,0.001544614134572404,0.0010746269054220312,0.994672783271191
2,0.11090244036738903,0.05546112607894907,0.004707664749174318,0.0018184332357032882,0.7657351031341719,0.9982681628894461,0.9997640139370486,0.08090816798143073,0.8181847897629757,0.42456404614114696,0.07755097893444268,0.09996905278404611,0.9970406677747504,0.0007578269401214135,0.0014543687754162392,0.0007471365097118511,0.9970406677747504
3,0.12839246007451918,0.060361775675206925,0.005824642914543306,0.0018746843697358957,0.8043602151885332,0.9980572809818307,0.9997794988722307,0.059462748517938445,0.8320316366870955,0.420134724451143,0.09199009846936365,0.11045859085079034,0.9972322962659106,4.2749821535139234e-05,0.002027518443475404,0.0006974354690789037,0.9972322962659106
4,0.1152847936514906,0.04260079373001268,0.006761468022819539,0.0023765432887364116,0.8523682801135145,0.9963902677102652,0.9995855708109196,0.10245759105074971,0.7819800359296619,0.4028994300911666,0.07417885886623529,0.10019399399974831,0.995599515621884,0.0013524079732870249,0.0022208587239058945,0.0008272176809230238,0.995599515621884
5,0.1281652754965175,0.054675097690322645,0.005784371866225064,0.001728250662545129,0.8348564033914648,0.9980681664880479,0.9998053303068514,0.11301586571690579,0.7773966748304484,0.41789708333721315,0.08537563318943402,0.11113545541718285,0.9906813897986227,0.007322655541876096,0.0008385305602113948,0.0011574240992897787,0.9906813897986227
6,0.1192374863473964,0.05317987152718445,0.005031511704003998,0.0021329006567343866,0.8118416922551784,0.9982310268140577,0.9997050495847742,0.08032164701525571,0.8093947698090095,0.3937652642763695,0.08256839889454486,0.10402716783329281,0.9918817585715807,0.006430279590264065,0.00042398710369461216,0.0012639747344606964,0.9918817585715807
7,0.11749258033646565,0.04088786144950121,0.007027867761731021,0.002429458137893985,0.8737132270727561,0.9961835123620923,0.9995951162829054,0.06120850816316645,0.8361231869384447,0.42034756918182553,0.07533203116858458,0.10048988955470774,0.9934041698334541,0.004985603340016294,0.0003089746321142858,0.0013012521944153063,0.9934041698334541
8,0.12172909673574321,0.05401054288251656,0.005638446470304793,0.0022695159548879493,0.8217546880221814,0.9976972197300442,0.9996249169524637,0.07949267331186906,0.8244149800896533,0.39791304537693445,0.08165296689801352,0.10838121992678977,0.9923614312814923,0.006047561888083716,2.2455273746072615e-05,0.0015685515566780186,0.9923614312814923
9,0.13292727619247313,0.058806262663938895,0.006387385185778312,0.0018845065868233768,0.8211498472312571,0.9978582594862077,0.9997876100644086,0.08923434307867244,0.8102431734368405,0.4131676895091348,0.09034172415149433,0.11618483931046682,0.9924831480117009,0.00554121573424653,1.2626761275077972e-05,0.001963009492777516,0.9924831480117009
