trajectory,projector_eigenvalue_max_donor,projector_eigenvalue_min_acceptor,minimum_donor_transport_overlap,minimum_acceptor_transport_overlap,minimum_reduced_singular_value,mean_gap_eV,std_gap_eV,mean_abs_coupling_eV,max_abs_coupling_eV,mean_donor_residual_eV,mean_acceptor_residual_eV,mean_donor_back_residual_eV
0,0.011715560162970892,0.9706621953873518,0.9999999045995427,0.9995137585370301,0.9995137522811117,0.4333222383226292,0.10019089791009866,0.04446429597494072,0.06877500429295685,0.06574086237891145,0.48040887175631297,0.08512602152819287
1,0.010180581331457316,0.9663842505000709,0.9999999124690231,0.9995882102435012,0.9995881937345196,0.42283976796033146,0.1377211169088351,0.04083490849288272,0.05315600325005636,0.07511532924449968,0.4768812816907922,0.08153489715147472
2,0.009056769505518545,0.9795353271330476,0.9999999422725097,0.9994932009107907,0.9994932020078937,0.3639384707220428,0.14857902791343447,0.03481016462286353,0.046197102981887485,0.0984074724296592,0.4699082913500674,0.08285820339724329
3,0.00992032865726821,0.9721450353343847,0.999999895639589,0.9993689428029211,0.9993689514096852,0.3568073492413325,0.15355073792674825,0.03172646576455873,0.05674845424039627,0.09973894715479859,0.47074057809255615,0.08625117484227551
4,0.009606406716315425,0.9776265219288762,0.9999999425428389,0.999156622693822,0.9991566400124867,0.39746741471988295,0.14886673792186353,0.024356065590370773,0.04768263366193022,0.09320401146131681,0.4694746747232709,0.06951071269008635
5,0.010589610153364765,0.9720542160018582,0.999999915130365,0.9987467560594052,0.9987466945177915,0.35311040387132125,0.13019298724771322,0.038795866606921386,0.05289504784487092,0.08485714091769643,0.48537402841439203,0.05195372678161599
6,0.008144126710303595,0.9768685854073464,0.9999999189857588,0.9989404370771875,0.9989404451682192,0.3267978368069345,0.11373572687432659,0.04143324999708722,0.06398308026638094,0.08541593802293279,0.48361099814998976,0.05458050637603389
7,0.009811447693393219,0.9774916896677229,0.9999998560561809,0.9978359401423138,0.997835932969009,0.37689282918466693,0.11682434825657048,0.03989097493742857,0.07011424655366903,0.08132193328702814,0.4769350688945513,0.049705760000624016
8,0.011128484198404651,0.9733745227328517,0.9999997783448731,0.997256617924926,0.9972565716617371,0.3903379071430088,0.1605185724070499,0.04840834986904166,0.0856955273147899,0.0923902575439521,0.467868817074964,0.05746519196926283
9,0.01202335561961191,0.9675363889990665,0.9999995931041927,0.9977990760756527,0.997799048841934,0.39005071676162534,0.09057124372994146,0.05092207381506432,0.07869655082934043,0.09578958631209998,0.4826626897527589,0.0521094620573074
