frame,time_fs,epsilon_d_eV,epsilon_a_eV,gap_eV,coupling_real_eV,coupling_imag_eV,coupling_abs_eV,donor_c60_population,acceptor_c60_population,donor_transport_overlap,acceptor_transport_overlap,donor_residual_eV,acceptor_residual_eV,donor_back_residual_eV
0,0.0,-3.5330909741162215,-2.9098059439242174,0.6232850301920042,0.025844574326879442,0.0,0.025844574326879442,0.0019419651130065942,0.9916049277211498,1.0,1.0,0.019706127540272775,0.4232197364798982,0.12251553257882246
1,0.5,-3.522143213668219,-2.9231937747294015,0.5989494389388176,0.026245273788654284,0.0,0.026245273788654284,0.0019960269421924804,0.9917535477549145,0.9999999465180477,0.9989887721949988,0.020413354616614608,0.42796997521885066,0.11888431789353415
2,1.0,-3.510162570039075,-2.940058673559423,0.5701038964796519,0.026628581425340463,0.0,0.026628581425340463,0.002054715229001533,0.991855513120364,0.9999999377228724,0.9989029245118594,0.023541636381644217,0.433526013738923,0.11468266962991049
3,1.5,-3.4974458514077393,-2.9599595405304338,0.5374863108773055,0.02699688634566893,0.0,0.02699688634566893,0.00211742756696141,0.9919140283943172,0.9999999306084425,0.998809452809228,0.028410558007094994,0.4392472533133869,0.10996507555713657
4,2.0,-3.4844104834408323,-2.9829496690011066,0.5014608144397253,0.027370514442736645,0.0,0.027370514442736645,0.002182066948458212,0.9919257556599579,0.9999999208872239,0.9987328362866155,0.03450918397692079,0.4449562015688133,0.10475970252349133
5,2.5,-3.4706850106294915,-3.0078425606937733,0.4628424499357183,0.02775089880829545,0.0,0.02775089880829545,0.0022471807617564592,0.9918937377782419,0.9999999108143771,0.998698595304522,0.041280530285938845,0.4501234915980175,0.09919656953872649
6,3.0,-3.45637073168208,-3.0336937302979794,0.4226770013841008,0.028128820079778637,0.0,0.028128820079778637,0.0023103139516660624,0.9918256721468351,0.999999903014762,0.9987282898816778,0.048347899890182296,0.4545386861603031,0.09345081000561832
7,3.5,-3.4421998535321645,-3.059960193252196,0.38223966027996875,0.028502544356469785,0.0,0.028502544356469785,0.002369591488677448,0.9917277762186215,0.9999998968418514,0.9987787497105383,0.05544330851332057,0.4580361035119742,0.08762681937723521
8,4.0,-3.428418391256825,-3.085741504597837,0.3426768866589879,0.02886981890179304,0.0,0.02886981890179304,0.0024231236801745075,0.9916073367347837,0.9999998933325444,0.9988654454714501,0.06231241658444568,0.46057157829751433,0.08187886125156724
9,4.5,-3.414851228971021,-3.110325655993657,0.3045255729773637,0.029212103039402037,0.0,0.029212103039402037,0.002470882115259635,0.991474177264066,0.9999998980934858,0.9989830081389461,0.0689251041989464,0.4625092895430055,0.07637516370260607
10,5.0,-3.4025441062351183,-3.133056097927778,0.2694880083073401,0.029542122137302843,0.0,0.029542122137302843,0.0025089326981614195,0.9913314019002017,0.9999999000746828,0.9991137904739932,0.07481655871363503,0.4637669836354556,0.07120852895481454
11,5.5,-3.3914527493321076,-3.153447214699879,0.23800553463222857,0.02983921287120196,0.0,0.02983921287120196,0.0025373892102891885,0.9911887284889718,0.999999909255282,0.9992588710751152,0.07995409119224708,0.4646491000493303,0.06651438549655077
12,6.0,-3.381774515256309,-3.171258296262221,0.2105162189940879,0.030091505831519583,0.0,0.030091505831519583,0.002556007619315577,0.991052799223321,0.9999999214891185,0.9994020183248208,0.08421800128641703,0.46532309098171476,0.06237500345933956
13,6.5,-3.3737029234457334,-3.1864387937282697,0.18726412971746348,0.03028784073723048,0.0,0.03028784073723048,0.0025649425533750916,0.9909283011229925,0.9999999346134717,0.9995315008497853,0.08751705657529152,0.4658968836669753,0.05882941956252068
14,7.0,-3.3673912338680734,-3.1990736474504007,0.16831758641767242,0.030418524600033088,0.0,0.030418524600033088,0.002564745238854756,0.990818139120114,0.9999999465905159,0.9996397695618058,0.08979679037897388,0.46641411080831263,0.055879358980539987
15,7.5,-3.362916356400259,-3.2093021645513633,0.15361419184889555,0.03047545077631753,0.0,0.03047545077631753,0.002556225636353758,0.9907240322758535,0.9999999557801635,0.9997236210089593,0.09104466490033512,0.4668580605797035,0.05349999299834366
16,8.0,-3.3608734158085865,-3.2176313001277452,0.1432421156808412,0.03045887681160566,0.0,0.03045887681160566,0.0025403278582330447,0.9906413938867311,0.9999999603800829,0.9997790940954266,0.09132300047236026,0.4672533802604225,0.05160028778717574
