lag_fs,mode_1_acf_hartree2,mode_1_acf_sem_hartree2,mode_1_normalized_acf,mode_2_acf_hartree2,mode_2_acf_sem_hartree2,mode_2_normalized_acf,mode_3_acf_hartree2,mode_3_acf_sem_hartree2,mode_3_normalized_acf,mode_4_acf_hartree2,mode_4_acf_sem_hartree2,mode_4_normalized_acf,mode_5_acf_hartree2,mode_5_acf_sem_hartree2,mode_5_normalized_acf,mode_6_acf_hartree2,mode_6_acf_sem_hartree2,mode_6_normalized_acf,mode_7_acf_hartree2,mode_7_acf_sem_hartree2,mode_7_normalized_acf,mode_8_acf_hartree2,mode_8_acf_sem_hartree2,mode_8_normalized_acf,mode_9_acf_hartree2,mode_9_acf_sem_hartree2,mode_9_normalized_acf,mode_10_acf_hartree2,mode_10_acf_sem_hartree2,mode_10_normalized_acf,mode_11_acf_hartree2,mode_11_acf_sem_hartree2,mode_11_normalized_acf,mode_12_acf_hartree2,mode_12_acf_sem_hartree2,mode_12_normalized_acf,mode_13_acf_hartree2,mode_13_acf_sem_hartree2,mode_13_normalized_acf,mode_14_acf_hartree2,mode_14_acf_sem_hartree2,mode_14_normalized_acf,mode_15_acf_hartree2,mode_15_acf_sem_hartree2,mode_15_normalized_acf,mode_16_acf_hartree2,mode_16_acf_sem_hartree2,mode_16_normalized_acf,mode_17_acf_hartree2,mode_17_acf_sem_hartree2,mode_17_normalized_acf,mode_18_acf_hartree2,mode_18_acf_sem_hartree2,mode_18_normalized_acf
0.0,9.355177869120794e-06,1.7568529551106305e-06,1.0,8.269104371624575e-06,7.692221384871343e-07,1.0,5.950932648603652e-06,1.0736491923972234e-06,1.0,5.122716833954393e-06,8.548201871621054e-07,1.0,4.3126907383133966e-06,6.561404557917016e-07,1.0,4.117790568499582e-06,9.268005934067286e-07,1.0,3.5314024683994394e-06,6.960373317749228e-07,1.0,3.3382586108990563e-06,3.927562083034281e-07,1.0,2.896081682927925e-06,5.211629959461159e-07,1.0,2.6469476288482302e-06,4.241848695894786e-07,1.0,2.134076225523007e-06,2.999175117959311e-07,1.0,1.9430491239296698e-06,3.6454660295325085e-07,1.0,1.5539718917719516e-06,1.5690665576877828e-07,1.0,1.3888759966423804e-06,2.008919439200121e-07,1.0,1.093229742532278e-06,3.984664758511064e-07,1.0,3.9556900973716313e-07,7.881884674272089e-08,1.0,2.6643051603481793e-07,3.316719415673943e-08,1.0,1.8571513686646132e-07,2.523360035642115e-08,1.0
0.5,9.326361664490685e-06,1.7524427812982117e-06,0.9969197587653332,8.195849992399918e-06,7.644252015128447e-07,0.9911411954750469,5.915208427800255e-06,1.0657050498199734e-06,0.9939968702533072,5.093789297412536e-06,8.513306337318127e-07,0.9943530869498546,4.297511621497612e-06,6.548833832538756e-07,0.9964803604670895,4.073552515595673e-06,9.176630181077981e-07,0.9892568472903107,3.505302206196603e-06,6.903964557248156e-07,0.9926090944217225,3.3146712657504336e-06,3.8801362371871265e-07,0.9929342367090397,2.881260418126611e-06,5.199867024672166e-07,0.9948823042911105,2.63557917462742e-06,4.2288742515194503e-07,0.9957050702110956,2.122005298024983e-06,2.9778109665317645e-07,0.9943437224248793,1.9301264607207677e-06,3.6270984890865785e-07,0.9933492864129101,1.5427881040235413e-06,1.5717081328727343e-07,0.9928030952119361,1.3756532300405472e-06,1.9849639228988376e-07,0.990479519673607,1.0859737922060292e-06,3.9629916362767603e-07,0.993362831211085,3.928991132248223e-07,7.843128870099657e-08,0.9932504911997154,2.6529569989541625e-07,3.294264256189522e-08,0.9957406675620695,1.8445250309027806e-07,2.5004422199615125e-08,0.9932012339032377
1.0,9.18016273848469e-06,1.720413271457234e-06,0.9812921642875668,8.026288567720531e-06,7.484584042631432e-07,0.9706357795244107,5.796424639562787e-06,1.0403618757203294e-06,0.9740363371316058,4.998198650688187e-06,8.363171913435851e-07,0.9756929404255034,4.238138792189999e-06,6.452627454776106e-07,0.9827133567772232,3.962571334304571e-06,8.897836510229032e-07,0.9623052140187963,3.435201244568575e-06,6.729984844903978e-07,0.9727583517620222,3.2527192277419024e-06,3.7723748764263696e-07,0.9743760465777346,2.8313657267833412e-06,5.130395411480735e-07,0.9776539603402498,2.5897581480689036e-06,4.153727142655182e-07,0.9783941774457353,2.090326456299937e-06,2.931053435732159e-07,0.9794994346032095,1.898804424567623e-06,3.5785679954409366e-07,0.9772292430401527,1.5181168498304111e-06,1.5634596191733671e-07,0.9769268400983393,1.350356668410912e-06,1.9457596689325968e-07,0.9722658262331632,1.0670818306874598e-06,3.889669252533443e-07,0.9760819607923849,3.890193291530371e-07,7.804343345996216e-08,0.9834423819285592,2.622093670694935e-07,3.24739868072387e-08,0.9841566610756675,1.8210333770171857e-07,2.4670354230582362e-08,0.980551939784317
1.5,8.918773880125277e-06,1.6615057046236164e-06,0.9533516096539456,7.762941948534588e-06,7.223419350951588e-07,0.9387887248313271,5.596677493345479e-06,9.981049568404094e-07,0.9404706495306585,4.83759673030373e-06,8.102836604255468e-07,0.9443420136438481,4.135518303538047e-06,6.275785735486454e-07,0.9589183538709668,3.7871198739738034e-06,8.437794088128987e-07,0.9196970586470923,3.3221957676670534e-06,6.442156515274195e-07,0.9407581824489107,3.153663221293114e-06,3.611203194295095e-07,0.9447030889089125,2.7472876729529588e-06,5.006093748891466e-07,0.9486223020393071,2.5102863295383726e-06,4.018094575678782e-07,0.948370229232936,2.0395184803308085e-06,2.8600239440572274e-07,0.9556914865264362,1.8495243094973255e-06,3.500649643783536e-07,0.9518669840713047,1.480366754543283e-06,1.544381551005001e-07,0.952634190091599,1.3134486755835892e-06,1.8919224348648723e-07,0.9456918247265146,1.036934859685438e-06,3.766464036087354e-07,0.9485058989371781,3.839778812398802e-07,7.765658662048067e-08,0.9706975819339724,2.572101394099411e-07,3.178928708181099e-08,0.965392940860904,1.7870809494588636e-07,2.4238534179884982e-08,0.9622699471954546
2.0,8.546620984533146e-06,1.577236607702851e-06,0.9135711906390898,7.410333951310313e-06,6.877880828056083e-07,0.8961471059355434,5.319567592323359e-06,9.398113248844084e-07,0.8939048560012792,4.6149482760336796e-06,7.740775178938146e-07,0.9008790502424179,3.99134426942836e-06,6.024173219744406e-07,0.9254881723768795,3.550729773368578e-06,7.806738993488527e-07,0.86229003498407,3.168284345359825e-06,6.047218137437754e-07,0.8971745287349837,3.019471413144343e-06,3.4074957633090843e-07,0.9045049425727811,2.6305964513262625e-06,4.831786935045777e-07,0.908329508395199,2.398604686403458e-06,3.8250885503518086e-07,0.9061776138907462,1.9704271778802185e-06,2.7663202275154437e-07,0.9233162125674859,1.7829674266996724e-06,3.3952603745281486e-07,0.9176131497353787,1.4301628722961707e-06,1.5149541580525653e-07,0.9203273752045766,1.2655823971126624e-06,1.8246753918688772e-07,0.9112277843178359,9.96127547512096e-07,3.59625589603984e-07,0.9111786011280104,3.7784486655119025e-07,7.727438296359871e-08,0.9551932968718916,2.5036837515923983e-07,3.094014451306957e-08,0.939713584184632,1.743246638734803e-07,2.3720553364036782e-08,0.9386669649810432
2.5,8.069983954870493e-06,1.470007049559812e-06,0.8626221828991174,6.97427313115243e-06,6.475012566451424e-07,0.8434133634937107,4.9701496290562815e-06,8.667764248633872e-07,0.8351883515641023,4.334263960111668e-06,7.28887108013424e-07,0.8460869692002685,3.8079732399626256e-06,5.706660541992264e-07,0.882969234527548,3.2582049809951695e-06,7.019294995745626e-07,0.7912507755785104,2.9761287106144605e-06,5.555280693804858e-07,0.842761123164574,2.8527196395851545e-06,3.1764187589019574e-07,0.8545532183370488,2.4834663628995454e-06,4.6142082786069897e-07,0.8575263527749578,2.2567307810836213e-06,3.5793037424963e-07,0.852578553685097,1.884204438271886e-06,2.6524917832452914e-07,0.8829133728857863,1.7001773847551565e-06,3.265849433545783e-07,0.875004838434901,1.368305087058046e-06,1.4762877745093606e-07,0.8805211305963875,1.2076125136108925e-06,1.745937011090675e-07,0.8694890807604898,9.45440737480752e-07,3.3829003081809523e-07,0.8648143209960624,3.7070335184470486e-07,7.689656463675345e-08,0.9371395198299778,2.4179628182267944e-07,3.000299653335521e-08,0.9075397421483086,1.6901923592845464e-07,2.312926823352011e-08,0.9100994069750389
3.0,7.4969755227305925e-06,1.3431991183679197e-06,0.8013717780264037,6.462215394992478e-06,6.052811087375006e-07,0.781489155847103,4.554766295187015e-06,7.807185313953826e-07,0.7653869677479481,4.000654895203455e-06,6.76232181990598e-07,0.7809635052803061,3.5884066552869734e-06,5.335593841037391e-07,0.8320574956622845,2.9154001283476703e-06,6.095027205082608e-07,0.7080010699548442,2.749104077356203e-06,4.980437117848857e-07,0.7784737372634271,2.6565705192084103e-06,2.938756782870493e-07,0.7957953019382599,2.308602086000961e-06,4.362315161166008e-07,0.7971467447240559,2.0871796074952796e-06,3.287088787282169e-07,0.7885231973416402,1.7822912985330152e-06,2.521577516000673e-07,0.8351582184447145,1.6024236804993143e-06,3.1172495872550715e-07,0.8246954030984732,1.2957612103969695e-06,1.4299680936786552e-07,0.8338382548988376,1.1405423543913729e-06,1.6583635378600966e-07,0.8211981178655573,8.858420596502622e-07,3.1311271842730413e-07,0.810298169896441,3.62652527312075e-07,7.652363262875183e-08,0.916787003999733,2.3162769364225054e-07,2.9075329233954904e-08,0.8693737379992191,1.6287783199126398e-07,2.2483267739599255e-08,0.8770304604108897
3.5,6.8374698004720895e-06,1.2014923623193233e-06,0.730875446317375,5.882732826609526e-06,5.661642640789901e-07,0.7114111229259747,4.081016328417347e-06,6.839322901627797e-07,0.6857776031753495,3.620127788250663e-06,6.181072496793857e-07,0.7066812212331807,3.3361936057166986e-06,4.927487235981833e-07,0.7735758968475014,2.529158294047494e-06,5.059983220287175e-07,0.6142027507166433,2.4911270621037538e-06,4.34193165710382e-07,0.7054214534863888,2.4347055779316883e-06,2.7213341063448747e-07,0.729334021631109,2.1092742270540624e-06,4.087199620809066e-07,0.7283200054363094,1.8929861490768432e-06,2.9566725884588263e-07,0.7151581423243122,1.6663192454786787e-06,2.377558066982913e-07,0.7808152424688143,1.4912251590014985e-06,2.955879241448349e-07,0.7674665249767894,1.2136655143727144e-06,1.377944268080645e-07,0.7810086661148065,1.0655229833596992e-06,1.5651701804840612e-07,0.7671836693380907,8.184380448043906e-07,2.8464387477141954e-07,0.7486423145684091,3.5379647084942805e-07,7.615295050387797e-08,0.8943988587086462,2.2002600057143113e-07,2.8274366879618963e-08,0.8258288271403471,1.55991030975367e-07,2.1804584498010257e-08,0.8399478556641967
4.0,6.102652595600217e-06,1.051352491277295e-06,0.6523288686732098,5.245640718262404e-06,5.362427536213983e-07,0.6343662484492052,3.557461341959975e-06,5.794531230966854e-07,0.5977989589236421,3.1994834704267204e-06,5.56993774292798e-07,0.6245676999399816,3.0553664197871306e-06,4.5044291720132215e-07,0.708459429433148,2.107018325565327e-06,3.9516312725840197e-07,0.511686617013422,2.206588095487298e-06,3.6679569620619596e-07,0.6248475259426899,2.191210423429449e-06,2.5562942815413984e-07,0.6563932513422963,1.8891385382741444e-06,3.802602781063394e-07,0.6523084446859365,1.6775668632617042e-06,2.5988441296295124e-07,0.6337741045491202,1.5381753460976371e-06,2.2248879049358e-07,0.7207686996844127,1.3682983305846858e-06,2.789806448047752e-07,0.704201614737051,1.123234358574519e-06,1.3227606842315018e-07,0.7228151065806767,9.838417668869946e-07,1.470486922673662e-07,0.7083726475692866,7.444754186626756e-07,2.535166054285193e-07,0.6809871609770027,3.442531239935427e-07,7.577957235910167e-08,0.8702732406218641,2.0717843100184368e-07,2.7725888770220456e-08,0.7776077383521975,1.48461498113967e-07,2.1117959979175908e-08,0.7994044029955317
4.5,5.305060067071013e-06,9.022227867800355e-07,0.5670720686756527,4.561611885191214e-06,5.219165129156345e-07,0.5516452181743383,2.9935618346150872e-06,4.7173506859694146e-07,0.5030407856014817,2.7461780137950868e-06,4.961148746374947e-07,0.5360784331456443,2.750375200492786e-06,4.0952440332289956e-07,0.6377399557215644,1.657235253360307e-06,2.8367481055209303e-07,0.40245739208736914,1.900376793002228e-06,3.0035364790298546e-07,0.5381365647239716,1.930456265237183e-06,2.4755134360319246e-07,0.578282419143457,1.6521928178790569e-06,3.524820200309546e-07,0.5704924787234239,1.444694010480556e-06,2.228198146234273e-07,0.5457962200442884,1.3998616930059595e-06,2.0689183533862327e-07,0.6559567443111783,1.2355038858998417e-06,2.628530283384419e-07,0.6358582861771033,1.0257868823788821e-06,1.2673522473340657e-07,0.6601064586883907,8.968308921559294e-07,1.3790275498737857e-07,0.6457242362342108,6.652756328818785e-07,2.204426068382953e-07,0.6085414684573824,3.341439352032113e-07,7.539691465537819e-08,0.8447171719170673,1.932882964594824e-07,2.7545684902817878e-08,0.72547356562648,1.4039466052495226e-07,2.0451921472680858e-08,0.7559677842840737
