frequency_cm_inverse,mode_1_psd_hartree2_fs,mode_2_psd_hartree2_fs,mode_3_psd_hartree2_fs,mode_4_psd_hartree2_fs,mode_5_psd_hartree2_fs,mode_6_psd_hartree2_fs,mode_7_psd_hartree2_fs,mode_8_psd_hartree2_fs,mode_9_psd_hartree2_fs,mode_10_psd_hartree2_fs,mode_11_psd_hartree2_fs,mode_12_psd_hartree2_fs,mode_13_psd_hartree2_fs,mode_14_psd_hartree2_fs,mode_15_psd_hartree2_fs,mode_16_psd_hartree2_fs,mode_17_psd_hartree2_fs,mode_18_psd_hartree2_fs
0.0,2.6039867722045847e-05,2.632486599477321e-05,1.895922670652681e-05,5.948446191126066e-06,6.546848365356719e-06,5.31269023692264e-06,4.603891587423368e-06,5.427017897962964e-06,1.041426760598494e-05,6.326726941489448e-06,3.1856089400611277e-06,8.62427556988332e-06,3.662407757407946e-06,1.138653328258636e-05,4.878752572747886e-06,5.741300051524255e-07,4.855446908761068e-07,6.571191155275244e-07
333.56409519815213,0.00012184027896004908,0.00014575550253973906,5.915797274801888e-05,2.784947992037389e-05,8.144459125049984e-05,1.6071153027661e-05,2.93759755669379e-05,4.9085866754963614e-05,5.199684617868708e-05,2.1698794241170738e-05,3.5371663592164695e-05,2.872276249560059e-05,2.2038925121864875e-05,3.188638170657182e-05,1.7560715269513213e-05,9.694237017639213e-06,7.67528145408719e-06,4.259983603754143e-06
667.1281903963043,0.0002393376682558426,0.00013914199217247028,5.344261555816039e-05,5.389583785837184e-05,9.251451623072467e-05,2.853950942855904e-05,5.176718640562184e-05,7.598743210849816e-05,6.704909049704234e-05,3.6375493832786814e-05,4.377083773718223e-05,2.6196281787112617e-05,2.6882595643036167e-05,2.6363498390172632e-05,2.1378378904164088e-05,3.085016704418167e-06,6.166997604714335e-06,3.294242278136309e-06
1000.6922855944564,0.00015234635054826311,0.00010413611376105852,0.00011214158889716254,0.00012650626777414734,0.00010886552982958564,4.4176151471521685e-05,5.6239273831669065e-05,5.7937192577909244e-05,8.50250149688216e-05,4.767215630370945e-05,3.9086152073405204e-05,4.972593370400787e-05,4.519107125235973e-05,2.089348044165978e-05,2.3555342897322126e-05,2.387886455937459e-06,3.420933399565654e-06,2.8327911956781402e-06
1334.2563807926085,0.000252419266961753,0.0002389104070895352,0.00028025898597278093,0.00015298616634602113,0.00011486374324526239,0.00018731295279298071,6.759707512512737e-05,5.80471892671624e-05,7.838048673305851e-05,5.7968207424488235e-05,5.368960376700767e-05,5.9902489702657714e-05,3.064598134397295e-05,2.099902614537122e-05,3.3279806502285085e-05,2.65324292420189e-06,5.569117892250597e-06,1.949459097564344e-06
1667.8204759907608,0.00024342355855839172,0.00018145302152615105,0.0001788502742053622,0.00012134099914161661,5.5116381955781326e-05,0.00014202995939085946,6.300648434178909e-05,5.509917016293467e-05,5.0412083357697736e-05,5.666620417159589e-05,3.0178734176567222e-05,2.2842050260273132e-05,1.3684539248769786e-05,1.3812783986323444e-05,1.668784391807371e-05,1.6397746869330595e-06,3.374065972062046e-06,1.0006120188426745e-06
2001.3845711889128,1.3348534982789094e-05,1.1636826508777361e-05,1.0832374560711275e-05,8.364359011314627e-06,3.838745039009474e-06,9.352157651764818e-06,6.504485114014894e-06,7.270359036602508e-06,4.556242021049034e-06,5.881350236841764e-06,2.564649561382125e-06,2.2681084038492615e-06,1.768558823740378e-06,1.9237730744943357e-06,1.1713241482646737e-06,1.6387082607311478e-07,2.6061696129720036e-07,2.130072593425865e-07
2334.9486663870653,1.3937013282669653e-06,1.0107670716146065e-06,4.13468989658027e-07,5.855816645738838e-07,5.246205587423089e-07,4.701826636767794e-07,8.646218509162455e-07,5.118393788460262e-07,8.338684867306267e-07,3.701442260389392e-07,1.897112055942753e-07,4.322755225485614e-07,2.85190425448747e-07,3.988129445743739e-07,3.376552241284972e-07,3.3992713913445125e-08,4.475526776217961e-08,5.489310150398113e-08
2668.512761585217,7.841522181261841e-07,3.6805129908025157e-07,4.3036958320308026e-07,4.141302425149955e-07,4.4737244883113356e-07,4.7437223159408723e-07,3.326765659582243e-07,1.8550838792020664e-07,6.553264852966879e-07,2.98347824168205e-07,1.4938418992373147e-07,1.8657585576625413e-07,1.4087076249267002e-07,9.331101853581203e-08,1.5581733698852596e-07,2.4809245360202957e-08,3.561864559154202e-08,1.3778048977675403e-08
3002.0768567833693,3.9290090576339144e-07,2.8968146929572956e-07,3.6874173844560414e-07,2.0535881276892075e-07,3.4263977351867933e-07,2.9511852839339923e-07,1.9277163380714134e-07,2.0945775131775347e-07,5.43344195645839e-07,8.576432494189493e-08,2.225261739513422e-07,1.8474739969289476e-07,1.2061303720322448e-07,9.136379017083689e-08,5.7279592111114903e-08,1.2952189707405144e-08,1.0256685701875602e-08,1.7524063011031925e-08
3335.6409519815215,2.251494695125567e-07,2.1995688821797785e-07,1.2828023193483543e-07,8.000323077731166e-08,1.1606815421151687e-07,1.7220959379173036e-07,8.751286832075197e-08,8.613657629064816e-08,8.000989098762764e-08,6.515526200407841e-08,8.009738560710447e-08,1.0998571205143415e-07,9.484764497871887e-08,4.626619608929793e-08,3.6923094569795566e-08,2.689227681606858e-09,6.841775060613809e-09,9.783989838110021e-09
3669.2050471796733,5.145847646823504e-08,3.346503070230171e-08,1.739454023590136e-08,2.8361824788605928e-08,2.4190056552150753e-08,5.847505961045042e-08,2.3501881869949992e-08,3.202191564434846e-08,7.912515015256437e-09,1.769711186855243e-08,1.446680805052288e-08,3.109814858174002e-08,2.0577085674546162e-08,1.3731728238983172e-08,1.4888976777256296e-08,1.431241154600439e-09,1.8069511695845794e-09,2.156763972224485e-09
4002.7691423778256,1.1325526874750525e-08,9.52742359445987e-09,5.101746189272021e-09,5.615497047956404e-09,3.112039091052852e-09,4.467846396156302e-09,4.599706952251352e-09,4.976269989168555e-09,2.8410881317125797e-09,1.7084883549980685e-09,3.4268367240980194e-09,2.3435208342011006e-09,1.1469886169500788e-09,3.5319431478931212e-09,2.055803187612363e-09,3.283690873667714e-10,1.5612461889086994e-10,2.8921571344273184e-10
4336.333237575978,6.605670637880826e-09,4.235007972343156e-09,2.906651896011887e-09,9.576494760637625e-10,2.1456691319008265e-09,2.2099968859740206e-09,2.9522126960179373e-09,2.02742072808085e-09,1.3976091824801782e-09,1.4594682303436244e-09,2.8529660121533945e-09,1.1330403156589874e-09,1.642342206836876e-09,9.051766495602951e-10,1.008350562952499e-09,9.086366085280153e-11,1.3657530148678638e-10,1.9277620871772106e-10
4669.8973327741305,8.350401954291552e-10,1.4286572696836166e-09,1.3376188506027035e-09,1.4585581309413412e-09,1.437730622001218e-09,1.842756968587407e-09,1.958864715708233e-09,1.450938262942497e-09,8.141424198312366e-10,1.0016100428591816e-09,2.068725955947183e-09,1.8630172699001664e-09,1.358734457716251e-09,1.1040700937176595e-09,6.09323580759e-10,7.197448052483244e-11,7.461308040603668e-11,1.1501042764009132e-10
5003.461427972282,1.1453567776666076e-09,9.295735444412552e-10,5.092958158983544e-10,1.4121595001682323e-09,1.3359393434465338e-09,1.2211366823771031e-09,1.280901685894541e-09,1.2018597798862102e-09,5.617004454366576e-10,3.907579888919926e-10,1.436713235115626e-09,1.3133573376428449e-09,8.180446277435343e-10,1.1466940595048826e-09,4.931817812499161e-10,6.817861005931342e-11,1.15383806348816e-10,3.7297738579560816e-11
5337.025523170434,4.865507950678899e-10,2.261267483192759e-10,1.5749168784005903e-10,4.719799046079416e-10,1.8603440964621982e-10,8.030301812568355e-11,1.802711705339814e-10,2.701865017165291e-10,1.6858251283111324e-10,6.496800916003318e-11,1.5032058806352603e-10,1.759381445915252e-10,2.0755279220311118e-10,1.920821189076836e-10,9.139975429976659e-11,5.156802158783727e-12,2.7527396592364015e-11,7.151167572970712e-12
5670.589618368586,2.7393615738299156e-10,3.4107476515376607e-10,9.811701064308579e-11,2.6211381000226927e-10,8.796498358180641e-11,9.441507463813221e-11,1.525772516301395e-10,1.3360286112234242e-10,6.777148103868279e-11,5.003929357423121e-11,5.3176198080231976e-11,4.874716855072007e-11,5.101945700020044e-11,3.7132920450205635e-11,3.070829597999025e-11,3.010467152472291e-12,1.0272305662573244e-11,7.01660599837616e-12
6004.153713566739,5.163113537770723e-10,3.6516625673352857e-10,7.80620689606885e-11,1.6793233599316132e-10,8.703630029695182e-11,1.4724807869013888e-10,1.4430257956103342e-10,1.1133356092605769e-10,1.9128401864887367e-11,6.6437546676825e-11,7.317819795163395e-11,5.477029226371599e-11,5.760768588549257e-11,8.34129012079969e-11,2.4249362983680942e-11,3.431011004089482e-12,9.914370558205582e-12,4.846737565842503e-12
6337.717808764891,9.393209236257468e-10,7.124659498237706e-10,6.042656039154547e-11,3.1492939666814067e-10,1.6554778614586983e-10,3.1664531936645857e-10,2.4033314005116646e-10,1.140946376590587e-10,4.1099610799887885e-11,1.0383537960458088e-10,1.7212463186923568e-10,1.0711213584598555e-10,1.4491279949215493e-10,1.859128398677754e-10,3.522280558440161e-11,3.6810260781885105e-12,1.1149902220348146e-11,1.057408319170967e-11
6671.281903963043,4.520158732510754e-10,4.325081727171736e-10,6.940243957430506e-11,2.5211005383329887e-10,6.997117063063533e-11,2.511373641117124e-10,1.757437617864312e-10,1.2604341072436057e-10,2.7139970026617517e-11,9.715584666098356e-11,1.1855009680427264e-10,1.0153728410871414e-10,1.738497279887936e-10,4.7398614504931125e-11,9.207047086678913e-11,6.5654358906364916e-12,1.051232087625834e-11,1.2521792112298888e-11
7004.845999161194,4.6446374423294984e-10,4.728479430574353e-10,5.4991435498461884e-11,3.413617886174207e-10,5.019301291718598e-11,1.8077893987103378e-10,1.82634534621377e-10,1.1324963168760241e-10,2.9336008336712665e-11,5.191911319623765e-11,6.127315323841191e-11,5.7223792760377974e-11,8.209050421077061e-11,2.8377038726633577e-11,5.550243443226662e-11,4.093887090819052e-12,1.2234867149149176e-11,7.820586244605358e-12
7338.410094359347,2.9339807568964353e-10,2.352875931270604e-10,2.2829315797604814e-11,1.7061636324940915e-10,1.8366104489571347e-11,5.142156535717828e-11,6.274151518795174e-11,4.4962266253305886e-11,2.3605012988549565e-11,2.5150103324728703e-11,3.3171991945495434e-11,2.813317841241844e-11,3.306159926592061e-11,2.15027317110956e-11,1.0008443912456942e-11,1.177146921732794e-12,4.103259822077958e-12,3.1069680652934008e-12
7671.9741895575,2.0019620921520982e-10,1.6196041129567435e-10,2.8488884100835687e-11,1.3217447775704365e-10,1.5980205958695717e-11,4.1421333914654676e-11,6.705599534428658e-11,3.4514838570736864e-11,2.945011644857934e-11,3.185964642193501e-11,3.731456905951284e-11,2.756406448634882e-11,3.775789601009917e-11,2.1626593402918738e-11,6.87432685592359e-12,1.485840048419359e-12,5.585352169888635e-12,3.745610973579254e-12
8005.538284755651,2.170631786357154e-10,1.6807976348942232e-10,3.9947439053816606e-11,1.3964110106228024e-10,1.3923588505617394e-11,2.036038447785878e-11,6.937344593606952e-11,2.202161721244855e-11,2.001877120867516e-11,2.9982625542431577e-11,1.7594236531491616e-11,1.1742274412613305e-11,1.8099295902047917e-11,1.5189484021636997e-11,3.991680966836e-12,7.293891289298916e-13,3.4097057795503036e-12,2.3364429326115804e-12
8339.102379953803,1.855443990531093e-10,1.3391965039204358e-10,4.639760482040651e-11,1.081471560358497e-10,1.3264193191711035e-11,1.8947252990823537e-11,7.962986017454985e-11,2.3121266663910466e-11,1.8649719555188606e-11,3.3580261733146524e-11,1.4357938120936297e-11,1.054612996241673e-11,2.0744966693554846e-11,1.411825595872713e-11,3.0952595770506886e-12,9.814477670650862e-13,2.408104687306064e-12,1.6362109090658479e-12
8672.666475151957,9.198264843614811e-11,6.066348686097027e-11,2.0262306407568757e-11,5.803038144626791e-11,1.0354777631984832e-11,1.5165386045474064e-11,3.193645485848364e-11,1.1455287895984961e-11,1.1592084142724568e-11,1.323302300721199e-11,9.632302484506023e-12,6.797697296618074e-12,1.2820403724429593e-11,8.992447846742311e-12,2.1150643045955503e-12,2.205789793283703e-13,1.6952090599425971e-12,1.4731121179966776e-12
9006.230570350108,4.989856679522175e-11,4.2383755597520994e-11,7.554043494442124e-12,2.5359735733976653e-11,6.226825605515732e-12,1.5343763857320318e-11,1.247093444575409e-11,9.39656020322385e-12,8.221792332726398e-12,5.0980432706024246e-12,6.2435418961030844e-12,5.307338720917817e-12,8.617016842990624e-12,8.287672771764489e-12,1.6361292551851386e-12,3.3878706907204825e-13,1.2755319289176308e-12,9.10528816557064e-13
9339.794665548261,1.2991682710872024e-10,1.0682128213299868e-10,1.7244636710550444e-11,6.295998170207069e-11,8.918545788972046e-12,2.593416656187554e-11,3.896814449704324e-11,2.027935821759444e-11,9.893165583462997e-12,1.2171714631885736e-11,1.4213024487773937e-11,9.966895251214825e-12,9.170605946547114e-12,1.0472444713216885e-11,2.9821479573236526e-12,3.8640791738332787e-13,1.6949504159789375e-12,1.5091010339704667e-12
9673.35876074641,2.1142524349142802e-10,1.6705195878335913e-10,2.5069871970194415e-11,1.0218393192258056e-10,9.84315509406969e-12,2.4432677213279277e-11,6.402147819577494e-11,2.264716200421826e-11,1.1092983271125686e-11,2.2940483747031747e-11,2.6682044895260038e-11,1.5151561225362133e-11,1.2599867430170537e-11,1.0538828950963287e-11,2.566008620316576e-12,3.1149258719297377e-13,2.0012026602249794e-12,1.5267759679954346e-12
