mode,variance_hartree2,rms_amplitude_eV,explained_fraction,cumulative_fraction,acf_zero_hartree2,dominant_operator_elements
1,9.359857798019812e-06,0.08325020127877329,0.15838260583456581,0.15838260583456581,9.355177869120794e-06,"(2,2):0.521; (4,4):0.489; (5,5):0.440; (1,3):0.266; (2,3):0.257; (0,0):0.213"
2,8.273240992120648e-06,0.07826876919405236,0.139995446010583,0.2983780518451488,8.269104371624575e-06,"(6,6):0.781; (0,0):0.428; (0,1):0.254; (1,1):0.219; (1,2):0.148; (3,3):0.138"
3,5.95390960340535e-06,0.06639750879847334,0.10074893638771816,0.39912698823286696,5.950932648603652e-06,"(4,4):0.672; (5,5):0.427; (2,2):0.346; (3,3):0.258; (4,5):0.252; (5,6):0.196"
4,5.125279473691236e-06,0.061604075261150706,0.08672729182331877,0.48585428005618575,5.122716833954393e-06,"(1,3):0.669; (0,2):0.356; (4,5):0.285; (5,5):0.251; (2,2):0.249; (5,6):0.208"
5,4.314848162394597e-06,0.056524070020298786,0.07301359812166429,0.55886787817785,4.3126907383133966e-06,"(1,2):0.692; (5,6):0.360; (2,3):0.358; (4,6):0.354; (4,5):0.215; (0,1):0.159"
6,4.11985049374646e-06,0.05523207951320358,0.06971394981945492,0.6285818279973049,4.117790568499582e-06,"(1,3):0.534; (2,3):0.414; (0,2):0.409; (5,5):0.269; (1,1):0.239; (6,6):0.216"
7,3.533169052925905e-06,0.051148496915533456,0.05978643410318032,0.6883682621004852,3.5314024683994394e-06,"(3,3):0.368; (4,5):0.366; (5,6):0.350; (5,5):0.332; (0,1):0.328; (0,3):0.319"
8,3.339928575186651e-06,0.04973009130482401,0.05651652006415137,0.7448847821646366,3.3382586108990563e-06,"(4,5):0.457; (0,1):0.433; (0,3):0.353; (5,6):0.294; (4,4):0.260; (4,6):0.238"
9,2.8975304481519993e-06,0.04631958621267353,0.04903049092908234,0.7939152730937189,2.896081682927925e-06,"(4,6):0.756; (4,5):0.392; (1,1):0.245; (0,0):0.238; (1,2):0.197; (4,4):0.196"
10,2.6482717647305936e-06,0.04428248069485323,0.04481266618653899,0.8387279392802579,2.6469476288482302e-06,"(2,3):0.532; (5,6):0.476; (2,2):0.310; (0,2):0.299; (6,6):0.286; (0,1):0.228"
11,2.1351437974217174e-06,0.03976163473906046,0.036129783781405925,0.8748577230616639,2.134076225523007e-06,"(0,1):0.396; (3,3):0.335; (5,5):0.334; (4,5):0.284; (2,2):0.266; (0,2):0.259"
12,1.944021134496918e-06,0.03794033470828372,0.03289570629419504,0.9077534293558589,1.9430491239296698e-06,"(0,3):0.552; (3,3):0.426; (5,6):0.340; (0,1):0.324; (1,2):0.261; (0,0):0.261"
13,1.5547492664051527e-06,0.03392976464460688,0.026308651856305314,0.9340620812121642,1.5539718917719516e-06,"(1,1):0.609; (0,1):0.381; (1,2):0.318; (4,5):0.310; (0,0):0.269; (2,3):0.249"
14,1.389570782033396e-06,0.03207679759649761,0.023513588154788642,0.9575756693669528,1.3888759966423804e-06,"(0,3):0.583; (5,6):0.352; (0,0):0.339; (0,1):0.312; (2,3):0.261; (1,2):0.225"
15,1.093776630847701e-06,0.028458695375974785,0.018508314627521456,0.9760839839944743,1.093229742532278e-06,"(0,2):0.660; (3,3):0.391; (1,1):0.320; (0,0):0.216; (1,2):0.212; (2,3):0.212"
16,3.957668931837557e-07,0.017118684886385533,0.00669695984684241,0.9827809438413166,3.9556900973716313e-07,"(3,5):0.796; (1,5):0.362; (0,4):0.233; (0,6):0.223; (3,4):0.194; (2,5):0.144"
17,2.6656379793378583e-07,0.014049188858416313,0.004510652816418172,0.9872915966577348,2.6643051603481793e-07,"(3,4):0.624; (1,4):0.546; (2,5):0.246; (0,5):0.210; (3,6):0.157; (0,4):0.155"
18,1.8580804088690483e-07,0.011729592352201192,0.0031441462397975256,0.9904357428975323,1.8571513686646132e-07,"(0,5):0.580; (3,6):0.554; (1,6):0.299; (2,5):0.281; (2,4):0.221; (1,5):0.167"
