lag_fs,mode_1_acf_hartree2,mode_1_acf_sem_hartree2,mode_1_normalized_acf,mode_2_acf_hartree2,mode_2_acf_sem_hartree2,mode_2_normalized_acf,mode_3_acf_hartree2,mode_3_acf_sem_hartree2,mode_3_normalized_acf,mode_4_acf_hartree2,mode_4_acf_sem_hartree2,mode_4_normalized_acf,mode_5_acf_hartree2,mode_5_acf_sem_hartree2,mode_5_normalized_acf,mode_6_acf_hartree2,mode_6_acf_sem_hartree2,mode_6_normalized_acf,mode_7_acf_hartree2,mode_7_acf_sem_hartree2,mode_7_normalized_acf,mode_8_acf_hartree2,mode_8_acf_sem_hartree2,mode_8_normalized_acf,mode_9_acf_hartree2,mode_9_acf_sem_hartree2,mode_9_normalized_acf,mode_10_acf_hartree2,mode_10_acf_sem_hartree2,mode_10_normalized_acf,mode_11_acf_hartree2,mode_11_acf_sem_hartree2,mode_11_normalized_acf,mode_12_acf_hartree2,mode_12_acf_sem_hartree2,mode_12_normalized_acf,mode_13_acf_hartree2,mode_13_acf_sem_hartree2,mode_13_normalized_acf,mode_14_acf_hartree2,mode_14_acf_sem_hartree2,mode_14_normalized_acf,mode_15_acf_hartree2,mode_15_acf_sem_hartree2,mode_15_normalized_acf,mode_16_acf_hartree2,mode_16_acf_sem_hartree2,mode_16_normalized_acf,mode_17_acf_hartree2,mode_17_acf_sem_hartree2,mode_17_normalized_acf,mode_18_acf_hartree2,mode_18_acf_sem_hartree2,mode_18_normalized_acf
0.0,9.354671203933483e-06,1.7590646344874904e-06,1.0,8.221624450866856e-06,7.583424129197997e-07,1.0,5.935878897071235e-06,1.0783188084587011e-06,1.0,5.108838225386575e-06,8.538071644217545e-07,1.0,4.308580814398665e-06,6.43760149054488e-07,1.0,4.090448363404175e-06,9.307575034877786e-07,1.0,3.51572828346417e-06,7.018856462217783e-07,1.0,3.321970892409839e-06,4.021536273408268e-07,1.0,2.880909628614616e-06,5.143739812069476e-07,1.0,2.6441190129454537e-06,4.219736913121847e-07,1.0,2.125971809884072e-06,2.970445640237674e-07,1.0,1.934248626932957e-06,3.631581407580184e-07,1.0,1.5463015881309858e-06,1.5801691143107892e-07,1.0,1.3783135850553255e-06,1.9881614376497757e-07,1.0,1.0887113881406092e-06,3.981795470397072e-07,1.0,3.932096758041422e-07,7.766719124029146e-08,1.0,2.6601211505527184e-07,3.346943491017286e-08,1.0,1.847631557338446e-07,2.5157050407067108e-08,1.0
0.5,9.325581133826241e-06,1.7546696697437386e-06,0.9968903161347873,8.151930933486737e-06,7.538190603791356e-07,0.9915231451160761,5.900119195537913e-06,1.0701700203874888e-06,0.9939756686156509,5.080008184862988e-06,8.504940741294136e-07,0.9943568304080709,4.295202704912476e-06,6.429377210079567e-07,0.9968950078778884,4.0464425853057794e-06,9.219919573061813e-07,0.989241820409689,3.4900221652592076e-06,6.960641628276868e-07,0.9926882522958704,3.2979195485017514e-06,3.9679215850681294e-07,0.9927599173240678,2.8659877736295477e-06,5.132371160890786e-07,0.9948204362827431,2.63233897363473e-06,4.2041158643556263e-07,0.9955448150204097,2.1136843983040926e-06,2.9472760724769906e-07,0.994220331839372,1.921308693015456e-06,3.6126518546683184e-07,0.9933100979174435,1.535342104066169e-06,1.582205229379882e-07,0.9929124537225216,1.3652230687450865e-06,1.9643359505075706e-07,0.9905025123076665,1.0810984879863824e-06,3.957130223400896e-07,0.9930074212163531,3.905073247941835e-07,7.72722967731549e-08,0.9931274554614349,2.648877744263418e-07,3.324968428639879e-08,0.995773348034557,1.8355746037271928e-07,2.4947770597571867e-08,0.993474373414242
1.0,9.179373954290473e-06,1.7226592137685943e-06,0.9812609929497789,7.986366842985679e-06,7.3845125181275e-07,0.9713855079021065,5.781277498287377e-06,1.0446506048681182e-06,0.973954758601942,4.984720708448704e-06,8.357268292080828e-07,0.9757053342732379,4.2382509468628355e-06,6.33986902810971e-07,0.9836767904408809,3.93556566147061e-06,8.944657267426911e-07,0.9621355195877187,3.4211371160364386e-06,6.785521719126568e-07,0.9730948583618847,3.2350647728050056e-06,3.8504449529320867e-07,0.9738389882333407,2.816239511819336e-06,5.064268266231108e-07,0.9775521883251926,2.5861923692730365e-06,4.1267479335139815e-07,0.9780922706622464,2.081942714879375e-06,2.8990307168028926e-07,0.9792898970720133,1.8900190584691652e-06,3.563159915821904e-07,0.9771334626542172,1.5109413885256123e-06,1.5729290641039313e-07,0.9771324042626682,1.340143649953328e-06,1.925111736568102e-07,0.9723067845257687,1.0619009675375914e-06,3.880990693672027e-07,0.975374170882141,3.865963983224125e-07,7.68777408904257e-08,0.9831812951494515,2.6181847936476255e-07,3.278753155038835e-08,0.9842351703055406,1.8127783635523818e-07,2.4634817034403408e-08,0.9811362857233988
1.5,8.918334577201715e-06,1.6637580638422517e-06,0.9533562840190155,7.727574854098646e-06,7.132321693065062e-07,0.9399085181133372,5.581450949257707e-06,1.0022498855704446e-06,0.9402905696090932,4.824702167118357e-06,8.100144392336365e-07,0.9443834301003498,4.13863834739252e-06,6.171921101099381e-07,0.9605572056491962,3.760077027598137e-06,8.487718666106585e-07,0.9192334662474275,3.3102141868249187e-06,6.49710846294384e-07,0.9415443742891441,3.134719421936444e-06,3.6763136393820984e-07,0.943632416857946,2.732572267471523e-06,4.942241960934722e-07,0.948510234521162,2.5065018829601062e-06,3.989347696217627e-07,0.9479535038659069,2.031246823183315e-06,2.8267599128471647e-07,0.9554439121627288,1.8407839984328182e-06,3.4837896383938826e-07,0.9516791030901023,1.4735082926626084e-06,1.5524005322377699e-07,0.9529242574494393,1.3035322063404971e-06,1.8711430903353173e-07,0.9457442924994266,1.031506843739888e-06,3.7552423008850616e-07,0.9474566491874217,3.8152680448529737e-07,7.648626738069928e-08,0.9702884439581693,2.5684159490869914e-07,3.211045051424969e-08,0.965525930483778,1.779642608779473e-07,2.422482569324469e-08,0.9632021068870936
2.0,8.546795710198851e-06,1.579484880883179e-06,0.913639349141963,7.37984056737154e-06,6.799219856960691e-07,0.8976134353343564,5.30424775957387e-06,9.438516462634378e-07,0.8935909663168816,4.6028622474882115e-06,7.74194025024794e-07,0.9009606576727965,3.997980990125804e-06,5.931070645878932e-07,0.9279113384075609,3.5235482348561806e-06,7.859174642651183e-07,0.861408804565325,3.159160356867876e-06,6.101991425706737e-07,0.8985792137938045,2.998886270463527e-06,3.4566568892017146e-07,0.9027430906500392,2.6165433211493414e-06,4.770962027417384e-07,0.9082351265588278,2.394704548553937e-06,3.7950627086462165e-07,0.9056719976784715,1.962435740323067e-06,2.732230217841141e-07,0.9230770282086088,1.7743128377742495e-06,3.376551505513779e-07,0.9173137377833843,1.4236495847200615e-06,1.521200921476823e-07,0.9206804129593027,1.256046192880722e-06,1.8037418439592054e-07,0.9112920357890141,9.90509858661333e-07,3.582820444304272e-07,0.909800218359989,3.753664743401971e-07,7.610010469005656e-08,0.9546216622786444,2.5003137197542463e-07,3.126938498111437e-08,0.9399247546431232,1.7366951244838877e-07,2.372736487683408e-08,0.9399574918419532
2.5,8.071003921487014e-06,1.4722194391453032e-06,0.8627779368764229,6.9489889844696e-06,6.412267252031066e-07,0.8452087572227804,4.954705921411518e-06,8.707393457338791e-07,0.8347046843991666,4.323233197666505e-06,7.2941712909124e-07,0.8462262860827572,3.8185605115456575e-06,5.625732680448293e-07,0.8862687451015356,3.230774589997806e-06,7.073496644830135e-07,0.7898338526657438,2.9705826817237627e-06,5.610009829082128e-07,0.8449409175605413,2.830212512768596e-06,3.207364921235106e-07,0.851967884256653,2.4702988037426072e-06,4.557078676509248e-07,0.8574718134877889,2.2527966412131353e-06,3.5486023427092e-07,0.8520027389779254,1.8766595856536238e-06,2.6179235677911344e-07,0.8827302304426872,1.6916230730258622e-06,3.2449007238323123e-07,0.8745634090009339,1.3621546599340002e-06,1.4804617066585065e-07,0.8809113761439229,1.198529556220459e-06,1.7249333129696747e-07,0.8695623181950646,9.396994334166842e-07,3.3676114265201713e-07,0.8631299751732919,3.681990104180627e-07,7.572014482261853e-08,0.936393565761242,2.4149531703797735e-07,3.0337933382021844e-08,0.9078357840499092,1.6846162541600973e-07,2.3155448988585303e-08,0.9117706652438997
3.0,7.499078363380244e-06,1.3453368526089387e-06,0.8016399721485675,6.442284457998504e-06,6.009173268400646e-07,0.7835780503595313,4.53920368360271e-06,7.846421232197294e-07,0.7647062486133865,3.990887287852148e-06,6.771993886446027e-07,0.7811731575333187,3.603273432446904e-06,5.267621760845739e-07,0.8363016936818908,2.887646890131156e-06,6.150044627657497e-07,0.705948745366384,2.747727149260916e-06,5.034678185333285e-07,0.7815527616808555,2.6319462344453788e-06,2.950359862982349e-07,0.792284556273189,2.296558774737011e-06,4.309298911323899e-07,0.7971644621984861,2.0833099265028786e-06,3.256379816931493e-07,0.7879032359372304,1.775320628178111e-06,2.4870340286723246e-07,0.8350631085154973,1.593985772995559e-06,3.093768996455303e-07,0.8240852550186706,1.2899925444489442e-06,1.4317334234653426e-07,0.8342438204491258,1.1319848141944725e-06,1.6373968601184976e-07,0.8212824907686262,8.800383004043608e-07,3.1143464541771964e-07,0.8083302057741515,3.6011966178485767e-07,7.53462321757255e-08,0.9158463892028774,2.3136803965413704e-07,2.941162423000947e-08,0.8697650466260287,1.6242162467436794e-07,2.2526674164653205e-08,0.8790801609187704
3.5,6.84077812874339e-06,1.2034633146296867e-06,0.7312686870134951,5.8682614120797325e-06,5.639341397260694e-07,0.7137593607138071,4.065310433033162e-06,6.878195009489179e-07,0.684870851229628,3.6118025106765513e-06,6.194708818649913e-07,0.706971399628387,3.355557409067151e-06,4.872549494493585e-07,0.7788080469219365,2.5009853128891584e-06,5.114520389265745e-07,0.61142082497963,2.4943723165078976e-06,4.3946041981139036e-07,0.7094895041348603,2.407846688149482e-06,2.7146338166425706e-07,0.7248247399310507,2.098553951728093e-06,4.0385824333948927e-07,0.7284344954399887,1.8892586680841034e-06,2.926774854644714e-07,0.7145134764488293,1.6600602410403195e-06,2.3434620871496525e-07,0.7808477202389816,1.4829140128252179e-06,2.9297176699374325e-07,0.766661530568902,1.2082711171050927e-06,1.3770483885144485e-07,0.7813942159663236,1.057568794766227e-06,1.5445492546846026e-07,0.7672918603089703,8.126414924363779e-07,2.8285689249874786e-07,0.7464250868398409,3.512344983551724e-07,7.49756362645715e-08,0.893249886684178,2.198127390472944e-07,2.8604574850217702e-08,0.826326045344295,1.5564015592749524e-07,2.18618954849457e-08,0.8423765837367398
4.0,6.107303808413125e-06,1.053035550138728e-06,0.6528614074479824,5.236602406907774e-06,5.362320162034703e-07,0.6369303825785484,3.5416179261216442e-06,5.832844221997702e-07,0.5966459200960249,3.1927474568023754e-06,5.586719077052178e-07,0.624945891012391,3.079332271748696e-06,4.461448119200339e-07,0.7146975777866357,2.0784039097004564e-06,4.003544812231764e-07,0.5081115137145396,2.214813896854518e-06,3.716711330313794e-07,0.6299730008350317,2.162072129890053e-06,2.5356140800362877e-07,0.650840178892005,1.8799166152606573e-06,3.758398050193867e-07,0.6525427235163498,1.674059247176175e-06,2.570781507910237e-07,0.6331255283820728,1.5327235579473513e-06,2.1917951227515758e-07,0.720951966917628,1.3601115435315656e-06,2.760906187025319e-07,0.7031730691665155,1.1182036791434362e-06,1.3189560461639683e-07,0.7231472099145992,9.765429673727174e-07,1.4505961031564693e-07,0.7085056535472797,7.38744906371716e-07,2.516604729949859e-07,0.6785498107385515,3.416596265745682e-07,7.460368430788665e-08,0.8688993369144581,2.0701474655648824e-07,2.803897757357648e-08,0.7782154828304524,1.4821636790345867e-07,2.1185352846720224e-08,0.8021965597782256
4.5,5.3110814795876224e-06,9.034197130135447e-07,0.5677464620407398,4.557937244355038e-06,5.238728864174303e-07,0.5543840236918711,2.9775802855289353e-06,4.75405937455207e-07,0.5016241633565123,2.7411453661061255e-06,4.979300703354616e-07,0.536549650855055,2.7789083933403514e-06,4.0617341278185634e-07,0.6449707021981889,1.6282007485224627e-06,2.8815780088500217e-07,0.39804945665355684,1.9137807578131798e-06,3.043591506815161e-07,0.5443483123580485,1.8990638692668906e-06,2.4492733714156497e-07,0.5716678233412404,1.6446304330325488e-06,3.4847450880355527e-07,0.570871927636073,1.4414726525808903e-06,2.20334179584267e-07,0.5451617894366795,1.3953191980003195e-06,2.0373679305482178e-07,0.6563206489912984,1.2274432527424363e-06,2.597081997465323e-07,0.6345840114095016,1.0210906910022163e-06,1.2604336999385775e-07,0.6603438157471003,8.902615275069128e-07,1.3604797408909782e-07,0.6459063722216579,6.596671185763026e-07,2.185557155982028e-07,0.6059155123773771,3.315157382093432e-07,7.422365749874327e-08,0.8431016798642341,1.9317651708771953e-07,2.7827824215688307e-08,0.7261944330903178,1.4025256593286117e-07,2.0524521520225246e-08,0.7590937997124172
