mode,variance_hartree2,rms_amplitude_eV,explained_fraction,cumulative_fraction,acf_zero_hartree2,dominant_operator_elements
1,9.359374407153159e-06,0.0832480515181996,0.15887348842369328,0.15887348842369328,9.354671203933483e-06,"(2,2):0.522; (4,4):0.489; (5,5):0.440; (1,3):0.265; (2,3):0.256; (0,0):0.214"
2,8.225757997599326e-06,0.07804384021050564,0.13963057904905474,0.29850406747274805,8.221624450866856e-06,"(6,6):0.781; (0,0):0.425; (0,1):0.254; (1,1):0.219; (1,2):0.151; (3,3):0.144"
3,5.938863250463429e-06,0.06631355788256124,0.10081100304645169,0.39931507051919973,5.935878897071235e-06,"(4,4):0.671; (5,5):0.423; (2,2):0.347; (3,3):0.256; (4,5):0.254; (5,6):0.195"
4,5.1114067715029106e-06,0.06152064624238583,0.08676509659881868,0.4860801671180184,5.108838225386575e-06,"(1,3):0.674; (0,2):0.353; (4,5):0.281; (2,2):0.250; (5,5):0.249; (5,6):0.205"
5,4.310747018930787e-06,0.05649720135414758,0.07317405916426904,0.5592542262822874,4.308580814398665e-06,"(1,2):0.695; (5,6):0.371; (4,6):0.359; (2,3):0.336; (4,5):0.220; (0,1):0.154"
6,4.092504898529067e-06,0.05504847228087341,0.06946944329136355,0.6287236695736509,4.090448363404175e-06,"(1,3):0.525; (2,3):0.435; (0,2):0.413; (5,5):0.285; (1,1):0.236; (6,6):0.212"
7,3.517495869328159e-06,0.051034923125040814,0.05970878126736653,0.6884324508410175,3.51572828346417e-06,"(3,3):0.374; (0,1):0.352; (4,5):0.350; (5,5):0.333; (5,6):0.332; (0,3):0.330"
8,3.3236410637986862e-06,0.049608686114155365,0.05641813513415644,0.7448505859751738,3.321970892409839e-06,"(4,5):0.473; (0,1):0.415; (0,3):0.340; (5,6):0.309; (4,4):0.261; (4,6):0.253"
9,2.882358049745143e-06,0.046198154938769866,0.04892744518256886,0.7937780311577427,2.880909628614616e-06,"(4,6):0.751; (4,5):0.400; (1,1):0.245; (0,0):0.237; (4,4):0.201; (1,2):0.196"
10,2.645448383992688e-06,0.04425886913697165,0.04490595150125857,0.8386839826590012,2.6441190129454537e-06,"(2,3):0.531; (5,6):0.477; (2,2):0.311; (0,2):0.296; (6,6):0.286; (0,1):0.227"
11,2.127040674544643e-06,0.039686112967545255,0.036106085437261765,0.874790068096263,2.125971809884072e-06,"(0,1):0.393; (3,3):0.337; (5,5):0.333; (4,5):0.278; (2,2):0.266; (0,2):0.260"
12,1.935221099847452e-06,0.03785436471736781,0.03284998693597725,0.9076400550322403,1.934248626932957e-06,"(0,3):0.554; (3,3):0.425; (5,6):0.340; (0,1):0.324; (0,0):0.263; (1,2):0.261"
13,1.5470790147715753e-06,0.03384596604960739,0.026261353510550773,0.9339014085427911,1.5463015881309858e-06,"(1,1):0.609; (0,1):0.382; (1,2):0.316; (4,5):0.310; (0,0):0.268; (2,3):0.249"
14,1.379006553172499e-06,0.031954632840775855,0.023408357453272143,0.9573097659960633,1.3783135850553255e-06,"(0,3):0.582; (5,6):0.349; (0,0):0.341; (0,1):0.311; (2,3):0.260; (1,2):0.224"
15,1.0892587543488278e-06,0.028399859819054445,0.018489947145098024,0.9757997131411613,1.0887113881406092e-06,"(0,2):0.661; (3,3):0.390; (1,1):0.322; (0,0):0.215; (1,2):0.211; (2,3):0.211"
16,3.9340736794884065e-07,0.01706757859996346,0.006678010537739244,0.9824777236789005,3.932096758041422e-07,"(3,5):0.797; (1,5):0.364; (0,4):0.231; (0,6):0.222; (3,4):0.189; (2,5):0.145"
17,2.661458566917999e-07,0.0140381707853646,0.004517772111971742,0.9869954957908723,2.6601211505527184e-07,"(3,4):0.626; (1,4):0.547; (2,5):0.244; (0,5):0.209; (3,6):0.160; (0,4):0.155"
18,1.8485604822038705e-07,0.01169950531841085,0.0031378940471219418,0.9901333898379943,1.847631557338446e-07,"(0,5):0.582; (3,6):0.549; (1,6):0.295; (2,5):0.287; (2,4):0.226; (1,1):0.167"
