mode,explained_fraction,cumulative_fraction,acf_e_fold_time_fs,acf_first_zero_crossing_fs,dominant_coarse_frequency_cm_inverse,low_frequency_power_fraction,strongest_crosscorrelated_mode,maximum_crosscorrelation_with_partner,lag_of_partner_maximum_fs
1,0.15838260583456581,0.15838260583456581,6.0,7.5,1334.2563807926085,0.07119129087866868,17,0.4262156245194126,-22.0
2,0.139995446010583,0.2983780518451488,6.0,8.0,1334.2563807926085,0.10290147431249856,1,0.42413376868435215,23.5
3,0.10074893638771816,0.39912698823286696,5.5,7.0,1334.2563807926085,0.055360424316548126,17,0.401477610158357,17.5
4,0.08672729182331877,0.48585428005618575,5.5,7.5,1334.2563807926085,0.03412244418859654,5,0.4429206785533131,-43.5
5,0.07301359812166429,0.55886787817785,6.5,9.0,1334.2563807926085,0.09535661514062334,4,0.4429206785533131,43.5
6,0.06971394981945492,0.6285818279973049,5.0,6.5,1334.2563807926085,0.024771610271289976,2,0.38273885323414725,-17.5
7,0.05978643410318032,0.6883682621004852,5.5,7.5,1334.2563807926085,0.061047371653285123,3,0.39270270588341527,-48.0
8,0.05651652006415137,0.7448847821646366,6.0,8.5,667.1281903963043,0.08873208872791156,15,0.39761782034446885,9.0
9,0.04903049092908234,0.7939152730937189,6.0,8.0,1000.6922855944564,0.09051546694512065,15,0.40092304235450177,-47.5
10,0.04481266618653899,0.8387279392802579,5.5,7.5,1334.2563807926085,0.06085401460927596,1,0.3356161812538091,22.5
11,0.036129783781405925,0.8748577230616639,7.0,9.5,1334.2563807926085,0.09316881602655842,4,0.3620439475691389,29.0
12,0.03289570629419504,0.9077534293558589,6.5,9.0,1334.2563807926085,0.09579992084945697,10,0.32914950916656455,-46.5
13,0.026308651856305314,0.9340620812121642,7.0,9.5,1000.6922855944564,0.09004666346094294,18,0.3846202468042613,-13.5
14,0.023513588154788642,0.9575756693669528,7.0,10.0,333.56409519815213,0.1770240130255638,5,0.3421334251472635,-25.0
15,0.018508314627521456,0.9760839839944743,6.5,9.0,1334.2563807926085,0.09615819568228018,9,0.40092304235450177,47.5
16,0.00669695984684241,0.9827809438413166,21.0,32.0,333.56409519815213,0.25686873669737775,15,0.3127999608538119,-50.0
17,0.004510652816418172,0.9872915966577348,8.0,12.5,333.56409519815213,0.1521990801644706,1,0.4262156245194126,22.0
18,0.0031441462397975256,0.9904357428975323,9.0,16.0,333.56409519815213,0.17589304446134826,4,0.42153736898343325,-39.0
