mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
4,5,0.4429206785533131,-43.5,-2.6130274531481987e-16,True
1,17,0.4262156245194126,-22.0,-3.621479814182432e-16,True
1,2,0.42413376868435215,-23.5,-1.2519540645960042e-16,True
1,4,0.4228056807532968,-8.5,1.284734547854169e-16,True
4,18,0.42153736898343325,39.0,1.1126545684557225e-16,True
3,17,0.401477610158357,17.5,5.045184658170218e-17,True
9,15,0.40092304235450177,-47.5,1.2802746904373664e-16,True
8,15,0.39761782034446885,9.0,1.9398254488136923e-16,True
2,3,0.3952190742156025,31.0,9.357939901022176e-17,True
3,7,0.39270270588341527,48.0,6.120544569926983e-17,True
13,18,0.3846202468042613,-13.5,-1.8477208609326296e-18,True
1,3,0.38316309213554106,-37.5,1.0217020643714498e-16,True
2,6,0.38273885323414725,17.5,4.354719581084141e-17,True
2,7,0.36350241851981874,35.5,5.486122527710411e-17,True
4,11,0.3620439475691389,-29.0,1.2808998326982885e-16,True
2,5,0.355227309554564,41.0,-1.1347152605902532e-16,True
7,11,0.35419526099579013,15.5,-3.8568410830258803e-17,True
5,14,0.3421334251472635,25.0,-3.1689256613761596e-16,True
1,15,0.3406630496539396,-46.0,-6.621533312704125e-17,True
1,11,0.3365812378301104,44.0,9.478493563193404e-18,True
1,10,0.3356161812538091,-22.5,-1.8936583372814024e-16,True
3,11,0.3350342533016627,42.0,9.953083378564177e-17,True
15,18,0.33203627383206846,-44.5,9.472632261673969e-17,True
1,5,0.33148879053316166,50.0,6.928062494067525e-18,True
1,7,0.3304302002773922,50.0,-9.578864446910243e-17,True
4,17,0.33038114992124334,-16.5,-3.2626512902989634e-16,True
10,12,0.32914950916656455,46.5,-3.548210234331512e-16,True
11,17,0.3276769569445361,12.5,1.684979477977546e-16,True
7,10,0.32633560195982375,-7.0,-2.4241644277483037e-16,True
4,8,0.3197705830354674,49.0,2.4579406125545986e-16,True
4,13,0.3154461616450735,-15.0,-1.2571392005817678e-16,True
15,16,0.3127999608538119,50.0,1.3806309213976753e-15,True
5,6,0.3106455230563172,-20.5,-3.215984899169917e-16,True
5,8,0.30748391085159515,-24.5,1.2278034404322705e-16,True
3,15,0.3063748628139555,44.5,2.283099133292839e-17,True
6,18,0.30483641800315675,-50.0,1.539922869621009e-16,True
3,4,0.3042955862793547,30.5,-1.6299960411055147e-16,True
12,15,0.3032518278567422,-8.5,3.7049545358589813e-16,True
4,14,0.3010841089211116,49.0,2.841245252592571e-16,True
7,16,0.2997945007351713,-9.0,6.09164366522403e-16,True
6,8,0.2978196643950147,-43.5,-3.6267859217983914e-16,True
7,14,0.2977740833539527,-47.5,-2.9402217645340137e-16,True
9,17,0.29680310885485334,10.0,4.3995250477604695e-16,True
5,7,0.2948438896483945,-50.0,-2.3875101275373248e-16,True
2,17,0.2934018827265301,-28.5,-3.209974708113551e-16,True
12,13,0.2932259327342732,-50.0,-4.021525087432835e-16,True
2,11,0.29177214377691374,42.0,-4.3855631014788765e-16,True
2,15,0.2909026593228172,46.5,2.9052218979211527e-16,True
7,13,0.28794953325910294,17.0,-6.327660424250958e-17,True
4,12,0.2862694959344681,50.0,3.5321598992005973e-16,True
14,18,0.28579703314725585,-11.0,-3.3356072699078236e-16,True
9,12,0.2848874301713327,-42.0,3.235944239634083e-16,True
3,13,0.2822934276017838,39.5,-1.3926956234572489e-16,True
11,14,0.2822365335344832,35.0,3.4439881113886257e-16,True
8,18,0.2819600619034208,50.0,1.2186379423856673e-17,True
8,9,0.28176320171944896,42.5,-1.1577741300031765e-16,True
8,14,0.27933145208507826,-7.5,-4.720519809614208e-16,True
1,18,0.27669501163770277,47.5,3.880790083508264e-16,True
6,10,0.2755645249090368,-39.0,-3.0146255007017776e-16,True
1,9,0.2747986424883381,-47.5,1.100973327933263e-16,True
2,13,0.27438545260068703,11.5,-2.0084841689641968e-16,True
9,13,0.2738272104650791,32.0,-5.240498882151967e-16,True
12,18,0.2737874546971572,45.5,-2.3353966515320064e-16,True
14,15,0.27087056972652346,50.0,-5.778500427691097e-16,True
10,11,0.27010692158879485,47.5,3.252037452163318e-16,True
8,11,0.2690463704395865,-22.0,8.72706166303328e-17,True
7,17,0.2671968299129215,-41.5,2.1831054865208006e-17,True
3,9,0.2669404427845447,24.0,6.631102538467213e-17,True
11,12,0.26665017230504273,41.5,-2.0798090028001832e-16,True
7,15,0.26552592361374544,-41.5,4.0145536101036167e-16,True
11,15,0.26302390332046977,37.5,-2.703424469629854e-16,True
7,8,0.2628879440981295,21.5,1.6729249642145403e-16,True
4,6,0.2599467375041684,45.5,2.6741514719068907e-16,True
11,13,0.25945495895310083,-45.5,-3.488470249737638e-17,True
5,11,0.2582245020235065,-49.0,-1.18661575886384e-16,True
15,17,0.25780977750173323,-21.5,-8.926352044536522e-16,True
10,15,0.25690135100050054,31.5,-8.69050690558876e-16,True
16,17,0.25568772252242733,37.5,2.5902837391986842e-15,True
8,17,0.2442232309432286,26.0,4.448643660265287e-16,False
8,16,0.24350303667832443,-12.5,1.312967759295176e-16,False
17,18,0.2433683875099443,-17.0,1.3892857466816666e-15,False
