mode,explained_fraction,cumulative_fraction,acf_e_fold_time_fs,acf_first_zero_crossing_fs,dominant_coarse_frequency_cm_inverse,low_frequency_power_fraction,strongest_crosscorrelated_mode,maximum_crosscorrelation_with_partner,lag_of_partner_maximum_fs
1,0.15887348842369328,0.15887348842369328,6.0,8.0,1340.9611867262397,0.07238094597033658,17,0.4270951389756732,-22.0
2,0.13963057904905474,0.29850406747274805,6.0,8.0,1340.9611867262397,0.10451146953193297,1,0.42004099475662093,23.5
3,0.10081100304645169,0.39931507051919973,5.5,7.0,1340.9611867262397,0.055166658090463845,17,0.40228380302873845,17.5
4,0.08676509659881868,0.4860801671180184,5.5,7.5,1340.9611867262397,0.03484035431178168,5,0.45448496409244393,-43.5
5,0.07317405916426904,0.5592542262822874,6.5,9.0,1340.9611867262397,0.0952037301825337,4,0.45448496409244393,43.5
6,0.06946944329136355,0.6287236695736509,5.0,6.5,1340.9611867262397,0.026090438352576663,2,0.3839554988030433,-17.5
7,0.05970878126736653,0.6884324508410175,5.5,7.5,1340.9611867262397,0.05973591549698605,3,0.38647855310468443,-48.0
8,0.05641813513415644,0.7448505859751738,6.0,8.0,670.4805933631199,0.09083779375766045,15,0.3983261481174196,9.0
9,0.04892744518256886,0.7937780311577427,6.0,8.0,1005.7208900446798,0.09088654239903934,15,0.40221301112379154,-47.0
10,0.04490595150125857,0.8386839826590012,5.5,7.5,1340.9611867262397,0.06164356553385654,1,0.3362158722545464,22.5
11,0.036106085437261765,0.874790068096263,7.0,9.5,1340.9611867262397,0.09419520513382425,4,0.3633625133867646,29.0
12,0.03284998693597725,0.9076400550322403,6.5,9.0,1340.9611867262397,0.09485388913544394,10,0.331613494546739,-46.5
13,0.026261353510550773,0.9339014085427911,7.0,9.5,1005.7208900446798,0.08992661281525662,18,0.3789983023018101,-13.5
14,0.023408357453272143,0.9573097659960633,7.0,10.0,335.2402966815599,0.17889068829833618,5,0.3429991997181512,-25.0
15,0.018489947145098024,0.9757997131411613,6.5,9.0,1340.9611867262397,0.0962313691011714,9,0.40221301112379154,47.0
16,0.006678010537739244,0.9824777236789005,20.5,32.0,335.2402966815599,0.2556998948291558,15,0.3174483894617971,-50.0
17,0.004517772111971742,0.9869954957908723,8.0,13.0,335.2402966815599,0.15313051783877135,1,0.4270951389756732,22.0
18,0.0031378940471219418,0.9901333898379943,9.0,16.0,335.2402966815599,0.17748242507514556,4,0.42291251859571194,-39.0
