mode_a,mode_b,maximum_absolute_normalized_crosscorrelation,signed_lag_of_maximum_fs,zero_lag_normalized_crosscorrelation,connected_at_threshold
4,5,0.45448496409244393,-43.5,3.475384344243145e-16,True
1,17,0.4270951389756732,-22.0,7.04749284562502e-16,True
1,4,0.424933690088603,-8.5,-2.0216636785975681e-16,True
4,18,0.42291251859571194,39.0,1.5529462339487238e-16,True
1,2,0.42004099475662093,-23.5,1.2073056558573505e-16,True
3,17,0.40228380302873845,17.5,-1.2217577277224199e-15,True
9,15,0.40221301112379154,-47.0,6.917261674144121e-17,True
8,15,0.3983261481174196,9.0,3.618839973855296e-16,True
2,3,0.39696618439079195,31.0,1.2276483992634654e-16,True
3,7,0.38647855310468443,48.0,1.1588578139666836e-16,True
2,6,0.3839554988030433,17.5,1.3875851199358333e-16,True
1,3,0.3839185207304399,-37.5,-1.705040827841009e-17,True
13,18,0.3789983023018101,-13.5,2.500555647351338e-16,True
2,7,0.37130534161063533,35.5,-3.9387085267387147e-16,True
4,11,0.3633625133867646,-29.0,-1.606351172989351e-16,True
7,11,0.3620264555335822,15.5,1.161836909353907e-16,True
2,5,0.3475205229179947,41.0,5.69264833106417e-17,True
1,7,0.3447185477632025,50.0,-1.3292935508354352e-16,True
1,15,0.3441382417536609,-46.0,1.3270878136905954e-17,True
3,11,0.34412463390884,42.0,-3.502086884093917e-17,True
5,14,0.3429991997181512,25.0,-1.4663679294520096e-16,True
1,11,0.33799189690770637,44.0,1.8043920054276608e-16,True
1,10,0.3362158722545464,-22.5,-1.0644507138148018e-16,True
1,5,0.3351668510875651,50.0,-5.511888135425261e-16,True
15,18,0.3347066618462743,-44.5,-2.552538894813976e-16,True
10,12,0.331613494546739,46.5,6.226805629243847e-16,True
4,17,0.3302759881062212,-16.5,-3.0198834546073486e-16,True
11,17,0.3301148531974364,12.5,-1.4079293344621127e-16,True
7,10,0.32382024192182,-7.0,6.667505679538059e-16,True
4,8,0.3197340221993572,49.0,2.621509896452838e-16,True
4,13,0.31790946809505305,-15.5,-1.6763401665296525e-16,True
15,16,0.3174483894617971,50.0,5.744737497891438e-16,True
6,18,0.310375174928133,-49.5,-1.6289620409616593e-16,True
5,8,0.31027245225335537,-24.5,1.1194514799833706e-17,True
3,15,0.3040202435668638,44.0,-4.362801455159841e-16,True
