frequency_cm_inverse,power_fraction_below_cutoff,imaginary_cross_spectrum_fraction,rank90,rank95,rank99,channel1_fraction,channel2_cumulative_fraction,channel3_cumulative_fraction,channel1_rms_scale_eV_sqrt_fs,channel1_dominant_operator_elements
333.56409519815213,0.11157620833039414,0.4274914416382077,9,12,15,0.32628469975500646,0.473371371298283,0.5838439633020152,0.3917903146741257,"(4,4):0.454; (2,2):0.432; (0,0):0.431; (5,5):0.406; (6,6):0.372; (1,1):0.222"
667.1281903963043,0.1661797347781261,0.43566197621429653,10,12,15,0.27969065595766873,0.418638711761543,0.5106603266839518,0.4426877977407962,"(2,2):0.513; (5,5):0.469; (0,0):0.391; (6,6):0.379; (4,4):0.356; (1,1):0.168"
1000.6922855944564,0.22096858137608769,0.4332559042946306,10,12,15,0.20065529160070555,0.3424002740240859,0.45442042949448985,0.4323745411410023,"(2,2):0.570; (5,5):0.555; (0,0):0.301; (1,3):0.228; (1,2):0.223; (6,6):0.223"
1334.2563807926085,0.23592101190204126,0.4370221780995792,10,12,15,0.20154728416185755,0.35235526484703605,0.4786357591439937,0.44775591127024256,"(5,5):0.430; (6,6):0.399; (2,2):0.361; (1,3):0.331; (0,2):0.291; (4,6):0.271"
1667.8204759907608,0.1779551042976827,0.4484317161487916,9,11,14,0.2410131913084698,0.41141318940592214,0.5507272872276392,0.42525083311875866,"(6,6):0.512; (5,5):0.338; (1,3):0.329; (2,3):0.288; (0,2):0.279; (4,4):0.276"
2001.3845711889128,0.07910261364120509,0.4358830689115211,8,9,13,0.2657714737302464,0.43929895185723944,0.5772228169454526,0.2977276302673472,"(6,6):0.480; (1,3):0.378; (2,3):0.377; (4,4):0.347; (2,2):0.299; (5,5):0.273"
2334.9486663870653,0.006197222403802474,0.437800859897375,9,10,14,0.23340014331524225,0.38145195176337165,0.5048804323027813,0.07809417513396702,"(1,3):0.504; (2,3):0.494; (6,6):0.352; (4,5):0.306; (0,2):0.246; (4,6):0.234"
2668.512761585217,0.0010296672197197963,0.37845316686056785,10,12,14,0.22855934640643627,0.36766387997926975,0.4823410138015829,0.031500502219293354,"(5,5):0.427; (4,5):0.368; (4,6):0.362; (6,6):0.292; (4,4):0.290; (0,0):0.283"
3002.0768567833693,0.0006135664469228313,0.4295061143525328,9,11,14,0.2570356439727059,0.4217551998006892,0.5432252219350119,0.025786774296952933,"(5,5):0.496; (4,5):0.346; (2,2):0.335; (6,6):0.326; (4,6):0.308; (1,1):0.274"
3335.6409519815215,0.0003328257693572306,0.43992321488720965,9,11,14,0.2603445322331725,0.4318578111378879,0.5607112964830288,0.019114029174554337,"(5,5):0.510; (2,2):0.349; (6,6):0.334; (4,5):0.317; (1,2):0.300; (3,3):0.261"
3669.2050471796733,0.00012346383466073645,0.46636146093922526,9,11,14,0.29795930605208176,0.5019788199456747,0.6057954779199651,0.012454259186075732,"(5,5):0.450; (1,2):0.404; (2,2):0.393; (6,6):0.338; (3,3):0.279; (0,1):0.233"
