label	jobid	dependency	outdir
t4_dim5_r12_5fs	332234	none	output_tenso/campaign/4m_dim5_rank12_5fs
t4_ltc2_5fs	332235	none	output_tenso/campaign/4m_ltc2_5fs
t4_dt025_5fs	332236	none	output_tenso/campaign/4m_dt0025_5fs
t8_pre_1fs	332237	none	output_tenso/campaign/8m_preflight_1fs
t12_pre_1fs	332238	none	output_tenso/campaign/12m_preflight_1fs
t8_5fs	332239	afterok:332237	output_tenso/campaign/8m_5fs
t12_5fs	332240	afterok:332238	output_tenso/campaign/12m_5fs
t4_20fs	332241	afterok:332234:332235:332236	output_tenso/campaign/4m_20fs
t8_10fs	332242	afterok:332239	output_tenso/campaign/8m_10fs
t12_10fs	332243	afterok:332240	output_tenso/campaign/12m_10fs
